kinase,substrate
AAK1,SOX2
ABL2,CBL
ABL2,HLCS
ACVR1,DNAJB2
ACVR1,E2F3
ACVR1,ETS1
ACVR1,FGR
ACVR1,GADD45A
ACVR1,MCM5
ACVR1,MDM2
ACVR1,NFATC4
ACVR1,ORC1L
ACVR1,OTUD7B
ACVR1,RIPK3
ACVR1,RNF14
ACVR1,RPS6KA2
ACVR1,RXRG
ACVR1,SMAD3
ACVR1,TRIM24
ACVR1,WWP1
ACVR1,ZBTB44
ACVR1B,MAPK1
ACVR1B,MAPK8
ACVR1B,MDM4
ACVR1B,SMAD4
ACVR1B,UHMK1
ACVR2A,GNA12
ACVR2B,DDEFL1
ACVR2B,EGFR
ACVR2B,PRKCB1
ACVR2B,SRXN1
ACVR2B,TRIM26
ADRBK1,BAD
ADRBK1,CTTN
ADRBK1,EIF4B
ADRBK1,ID2
ADRBK1,PQBP1
ADRBK1,SNF8
ADRBK1,TP53
ADRBK1,ZNF396
AKT1,384D8-2
AKT1,ABI2
AKT1,AVEN
AKT1,BCL11A
AKT1,BMX
AKT1,BRD2
AKT1,BTBD12
AKT1,C19orf21
AKT1,C5orf16
AKT1,C7orf22
AKT1,CBL
AKT1,CCM2
AKT1,CD99L2
AKT1,CDK2AP1
AKT1,CDK9
AKT1,CENTB2
AKT1,CGI-48
AKT1,CHES1
AKT1,CHGB
AKT1,CSNK1G2
AKT1,CSRP3
AKT1,CTTN
AKT1,DAXX
AKT1,DNAJB2
AKT1,EG1
AKT1,ENC2
AKT1,ERAL1
AKT1,ETS1
AKT1,FGFR1OP
AKT1,FGR
AKT1,FIP1L1
AKT1,GADD45A
AKT1,GAS7
AKT1,GTF2B
AKT1,GTF2E1
AKT1,HCLS1
AKT1,HIRIP3
AKT1,HNRPK
AKT1,HRMT1L2
AKT1,HistoneAb
AKT1,ID2
AKT1,IOH12327
AKT1,IOH14198
AKT1,IOH21637
AKT1,IOH42148
AKT1,IOH43720
AKT1,KIAA0663
AKT1,LOC93349
AKT1,LUC7L2
AKT1,MAPK8
AKT1,MDFI
AKT1,MDM4
AKT1,MEF2C
AKT1,MLX
AKT1,MTA1
AKT1,NCL
AKT1,NCOA4
AKT1,NEUROD1
AKT1,NFATC3
AKT1,NOC2L
AKT1,NRIP2
AKT1,NUP133
AKT1,OTUD7B
AKT1,PCBP2
AKT1,PCBP3
AKT1,PHLDA2
AKT1,PINX1
AKT1,PKCD
AKT1,PLEKHA4
AKT1,POP7
AKT1,PPP1R13L
AKT1,PRKACA
AKT1,PRKCD
AKT1,RAGE
AKT1,RPS20
AKT1,RUNX1T1
AKT1,RXRA
AKT1,SFRS1
AKT1,SFRS12
AKT1,SMAD3
AKT1,SMPX
AKT1,SMYD2
AKT1,SNIP1
AKT1,SNRP70
AKT1,SOX9
AKT1,SPF45
AKT1,STAT6
AKT1,SYNJ2
AKT1,TCEAL6
AKT1,TEAD1
AKT1,THRA
AKT1,TRAT1
AKT1,TRIP10
AKT1,TSN
AKT1,WDR45L
AKT1,XPA
AKT1,ZHX1
AKT1,ZNF289
AKT1,ZRANB2
AKT1,ard
AKT3,FARS2
AKT3,GNA12
AKT3,PRKACA
ARAF,C21orf66
ARAF,CBL
ARAF,EGFR
ARAF,GMEB1
ARAF,HDAC7A
ARAF,IRF3
ARAF,KHDRBS1
ARAF,MBNL1
ARAF,MCM7
ARAF,MDM4
ARAF,MTA1
ARAF,PCBP2
ARAF,PCTK1
ARAF,RBM12
ARAF,SAFB2
ARAF,SETDB1
ARAF,SF3B1
ARAF,SFRS1
ARAF,SMAD4
ARAF,SNRPE
