Inhibitor_RefID,CHEMBL_ID,Kinase_Target
1,CHEMBL3301610,CDK4
2,CHEMBL3301610,CDK6
3,CHEMBL3707348,BTK
4,CHEMBL1976040,WEE1
5,CHEMBL1173655,EGFR
6,CHEMBL1173655,ERBB2
7,CHEMBL1173655,ERBB4
8,CHEMBL2219422,AKT1
9,CHEMBL2219422,AKT2
10,CHEMBL2219422,AKT3
11,CHEMBL1738797,ALK
12,CHEMBL483158,AURKA
13,CHEMBL1947204,ERBB2
14,CHEMBL1947204,EGFR
15,CHEMBL2396661,PIK3CA
16,CHEMBL3545365,MET
17,CHEMBL3545365,TEK
18,CHEMBL3545365,KDR
19,CHEMBL3545365,NTRK1
20,CHEMBL3707349,PDGFRA
21,CHEMBL2103851,KIT
22,CHEMBL2103851,MET
23,CHEMBL2103851,RET
24,CHEMBL2103851,FLT3
25,CHEMBL2103851,PDGFRB
26,CHEMBL1922094,PIK3CA
27,CHEMBL1922094,MTOR
28,CHEMBL1289926,FLT1
29,CHEMBL1289926,KDR
30,CHEMBL1289926,FLT4
31,CHEMBL206834,LYN
32,CHEMBL206834,ABL1
33,CHEMBL2104954,RAF1
34,CHEMBL2104954,MAP2K1
35,CHEMBL2104954,MAP2K2
36,CHEMBL415049,AURKB
37,CHEMBL2105759,JAK1
38,CHEMBL2105759,JAK2
39,CHEMBL3809489,AXL
40,CHEMBL3545213,MAPK8
41,CHEMBL3545213,MAPK9
42,CHEMBL3187723,MAP2K1
43,CHEMBL288441,BCR
44,CHEMBL288441,ABL1
45,CHEMBL288441,LYN
46,CHEMBL288441,HCK
47,CHEMBL288441,SRC
48,CHEMBL288441,CDK2
49,CHEMBL288441,MAP2K1
50,CHEMBL288441,MAP2K2
51,CHEMBL288441,MAP3K2
52,CHEMBL288441,CAMK2G
53,CHEMBL3545311,ALK
54,CHEMBL3545311,EGFR
55,CHEMBL377300,KDR
56,CHEMBL2017974,PIK3CA
57,CHEMBL2105717,MET
58,CHEMBL2105717,KDR
59,CHEMBL2105717,RET
60,CHEMBL31965,EGFR
61,CHEMBL2325741,AKT1
62,CHEMBL3188267,MET
63,CHEMBL491473,KDR
64,CHEMBL1614709,AURKA
65,CHEMBL1614709,AURKB
66,CHEMBL1614709,AURKC
67,CHEMBL4116008,JAK1
68,CHEMBL4116008,SYK
69,CHEMBL2403108,ALK
70,CHEMBL2146883,MAP2K1
71,CHEMBL3218576,PIK3CA
72,CHEMBL3218576,PIK3CB
73,CHEMBL2105728,FLT3
74,CHEMBL2105728,PDGFRA
75,CHEMBL2105728,PDGFRB
76,CHEMBL601719,ALK
77,CHEMBL601719,MET
78,CHEMBL2028663,BRAF
79,CHEMBL2028663,RAF1
80,CHEMBL2028663,SIK1
81,CHEMBL2028663,NEK11
82,CHEMBL2028663,LIMK1
83,CHEMBL2110732,EGFR
84,CHEMBL1879463,PIK3CA
85,CHEMBL1879463,PIK3CB
86,CHEMBL1879463,PIK3CG
87,CHEMBL1879463,PIK3CD
88,CHEMBL1879463,MTOR
89,CHEMBL402548,AURKA
90,CHEMBL402548,AURKB
91,CHEMBL402548,AURKC
92,CHEMBL1421,ABL1
93,CHEMBL1421,SRC
94,CHEMBL1421,EPHA2
95,CHEMBL1421,LCK
96,CHEMBL1421,YES1
97,CHEMBL1421,KIT
98,CHEMBL1421,PDGFRB
99,CHEMBL1421,ABL2
100,CHEMBL1421,FYN
101,CHEMBL3039513,JAK3
102,CHEMBL3137331,PTK2
103,CHEMBL3137331,PTK2B
104,CHEMBL2103838,MAPK14
105,CHEMBL2103838,MAPK11
106,CHEMBL2103838,MAPK13
107,CHEMBL2103838,MAPK12
108,CHEMBL2103840,CDK4
109,CHEMBL2103840,CDK6
110,CHEMBL2103840,BRDT
111,CHEMBL103667,MAPK14
112,CHEMBL522892,FGFR3
113,CHEMBL522892,VEGFA
114,CHEMBL522892,FGFR1
115,CHEMBL522892,PDGFRA
116,CHEMBL522892,KIT
117,CHEMBL522892,CSF1R
118,CHEMBL3039502,PIK3CD
119,CHEMBL3039502,PIK3CG
120,CHEMBL3301612,BRAF
121,CHEMBL4113131,ALK
122,CHEMBL3265032,SYK
123,CHEMBL1983268,NTRK1
124,CHEMBL1983268,NTRK2
125,CHEMBL1983268,NTRK3
126,CHEMBL1983268,ROS1
127,CHEMBL1983268,ALK
128,CHEMBL3545376,FGFR1
129,CHEMBL553,EGFR
130,CHEMBL553,NR1I2
131,CHEMBL4072833,BTK
132,CHEMBL1278146,KIT
133,CHEMBL1278146,KDR
134,CHEMBL1278146,FLT4
135,CHEMBL1278146,PDGFRA
136,CHEMBL1278146,PDGFRB
137,CHEMBL1278146,FLT1
138,CHEMBL1278146,FLT3
139,CHEMBL1287853,JAK2
140,CHEMBL1287853,FLT3
141,CHEMBL1287853,BRD4
142,CHEMBL3301607,JAK1
143,CHEMBL3545413,BCR
144,CHEMBL3545413,ABL1
145,CHEMBL3545413,PDGFRB
146,CHEMBL3545413,KIT
147,CHEMBL1230609,MET
148,CHEMBL1230609,KDR
149,CHEMBL2103830,SYK
150,CHEMBL2364611,TGFBR1
151,CHEMBL2107823,JAK2
152,CHEMBL592445,PIK3CA
153,CHEMBL592445,PIK3CB
154,CHEMBL592445,PIK3CG
155,CHEMBL592445,PIK3CD
156,CHEMBL592445,MTOR
157,CHEMBL939,EGFR
158,CHEMBL3301622,FLT3
159,CHEMBL3301622,AXL
160,CHEMBL3301622,ALK
161,CHEMBL3989914,MET
162,CHEMBL3989914,TEK
163,CHEMBL3989914,FLT1
164,CHEMBL3989914,KDR
165,CHEMBL3989914,FLT4
166,CHEMBL3989914,MST1R
167,CHEMBL3039525,MET
168,CHEMBL3039525,KDR
169,CHEMBL1277072,KDR
170,CHEMBL1873475,BTK
171,CHEMBL2087361,EGFR
172,CHEMBL2216870,PIK3CD
173,CHEMBL1980297,AURKA
174,CHEMBL1980297,AURKB
175,CHEMBL1980297,AURKC
176,CHEMBL1980297,FLT1
177,CHEMBL1980297,PDGFRA
178,CHEMBL1980297,PDGFRB
179,CHEMBL941,KIT
180,CHEMBL941,RET
